EDU1_pos;EDU1_text;EDU2_pos;EDU2_text;Text_id;Relation
1;##### Внутри 22-й Московской международной книжной выставки-ярмарки,;2;проходившей в начале сентября 2009 года на ВВЦ,;0;elaboration_NS
1;##### Внутри 22-й Московской международной книжной выставки-ярмарки,;3;работала внутренняя выставка — «Книгабайт»,;0;no_relation
1;##### Внутри 22-й Московской международной книжной выставки-ярмарки,;4;посвящённая электронному книгоизданию.;0;no_relation
2;проходившей в начале сентября 2009 года на ВВЦ,;3;работала внутренняя выставка — «Книгабайт»,;0;no_relation
2;проходившей в начале сентября 2009 года на ВВЦ,;4;посвящённая электронному книгоизданию.;0;no_relation
3;работала внутренняя выставка — «Книгабайт»,;4;посвящённая электронному книгоизданию.;0;elaboration_NS
5;И хотя место экспозиция занимала скромное,;6;да и участников у неё тоже немного,;0;joint_M
5;И хотя место экспозиция занимала скромное,;7;но по их бодрым, в отличие от большинства издателей, лицам было понятно — у них всё хорошо.;0;concession_SN
6;да и участников у неё тоже немного,;7;но по их бодрым, в отличие от большинства издателей, лицам было понятно — у них всё хорошо.;0;concession_SN
10;Точнее, услышать что-либо было вообще сложно,;11;поскольку издатели книг бумажных пустились во все тяжкие;0;cause-effect_NS
10;Точнее, услышать что-либо было вообще сложно,;12;и, помимо традиционных встреч с известными авторами, устраивали на своих стендах песни и пляски народов СССР.;0;no_relation
11;поскольку издатели книг бумажных пустились во все тяжкие;12;и, помимо традиционных встреч с известными авторами, устраивали на своих стендах песни и пляски народов СССР.;0;elaboration_NS
13;Мерное гудение установленной на стенде Xerox полноценной мини-типографии для печати книг по требованию казалось вполне мирным,;14;а ритмичные звуки, издаваемые автоматическим книжным сканером, похожим одновременно на пыточные устройства маркиза де Сада и электрическую гильотину, погружали в печальные думы о судьбе книги.;0;joint_M
15;Вот коробка с фотоэлементами и лампами подсветки опускается к раскрытой книге,;16;начинает подниматься,;0;sequence_M
15;Вот коробка с фотоэлементами и лампами подсветки опускается к раскрытой книге,;17;включая мигающую подсветку,;0;sequence_M
15;Вот коробка с фотоэлементами и лампами подсветки опускается к раскрытой книге,;18;страница автоматически переворачивается,;0;sequence_M
15;Вот коробка с фотоэлементами и лампами подсветки опускается к раскрытой книге,;19;коробка опускается снова.;0;sequence_M
16;начинает подниматься,;17;включая мигающую подсветку,;0;joint_M
16;начинает подниматься,;18;страница автоматически переворачивается,;0;sequence_M
16;начинает подниматься,;19;коробка опускается снова.;0;sequence_M
17;включая мигающую подсветку,;18;страница автоматически переворачивается,;0;sequence_M
17;включая мигающую подсветку,;19;коробка опускается снова.;0;sequence_M
18;страница автоматически переворачивается,;19;коробка опускается снова.;0;sequence_M
23;##### На лицах представителей одного из участников «Книгабайта» — корпорации «Электронный архив»,;24;которая трудится на ниве оцифровки всего, на чём есть буквы,;0;elaboration_NS
23;##### На лицах представителей одного из участников «Книгабайта» — корпорации «Электронный архив»,;25;— печали, однако, заметно не было.;0;same-unit_M
24;которая трудится на ниве оцифровки всего, на чём есть буквы,;25;— печали, однако, заметно не было.;0;no_relation
26;Они энергично засовывали новые и новые старые книги в нутро книжного сканера,;27;бодро демонстрировали работу программы оцифровки и архивирования,;0;joint_M
26;Они энергично засовывали новые и новые старые книги в нутро книжного сканера,;28;гордо хвастались тем, что целиком оцифровали все диссертации в Российской государственной библиотеке,;0;joint_M
26;Они энергично засовывали новые и новые старые книги в нутро книжного сканера,;29;и поработали на Президентскую библиотеку,;0;joint_M
26;Они энергично засовывали новые и новые старые книги в нутро книжного сканера,;30;и оцифровали все издания XIX века в Архангельской областной библиотеке,;0;joint_M
26;Они энергично засовывали новые и новые старые книги в нутро книжного сканера,;31;и что-то там (высоко поднятые брови) по лицензии по работе с секретными документами...;0;joint_M
27;бодро демонстрировали работу программы оцифровки и архивирования,;28;гордо хвастались тем, что целиком оцифровали все диссертации в Российской государственной библиотеке,;0;joint_M
27;бодро демонстрировали работу программы оцифровки и архивирования,;29;и поработали на Президентскую библиотеку,;0;joint_M
27;бодро демонстрировали работу программы оцифровки и архивирования,;30;и оцифровали все издания XIX века в Архангельской областной библиотеке,;0;joint_M
27;бодро демонстрировали работу программы оцифровки и архивирования,;31;и что-то там (высоко поднятые брови) по лицензии по работе с секретными документами...;0;joint_M
28;гордо хвастались тем, что целиком оцифровали все диссертации в Российской государственной библиотеке,;29;и поработали на Президентскую библиотеку,;0;joint_M
28;гордо хвастались тем, что целиком оцифровали все диссертации в Российской государственной библиотеке,;30;и оцифровали все издания XIX века в Архангельской областной библиотеке,;0;joint_M
28;гордо хвастались тем, что целиком оцифровали все диссертации в Российской государственной библиотеке,;31;и что-то там (высоко поднятые брови) по лицензии по работе с секретными документами...;0;joint_M
29;и поработали на Президентскую библиотеку,;30;и оцифровали все издания XIX века в Архангельской областной библиотеке,;0;joint_M
29;и поработали на Президентскую библиотеку,;31;и что-то там (высоко поднятые брови) по лицензии по работе с секретными документами...;0;joint_M
30;и оцифровали все издания XIX века в Архангельской областной библиотеке,;31;и что-то там (высоко поднятые брови) по лицензии по работе с секретными документами...;0;joint_M
33;Потому что к ним подходили не такие весёлые издатели;34;и грустно интересовались,;0;joint_M
33;Потому что к ним подходили не такие весёлые издатели;35;почём стоит оцифровать и их книги тоже.;0;no_relation
34;и грустно интересовались,;35;почём стоит оцифровать и их книги тоже.;0;attribution_NS
